Understanding Kin Relationships in a Photo;Toward Large-Scale Face Recognition Using Social Network Context
Understanding Kin Relationships in a Photo;Robust Real-Time Face Detection
Understanding Kin Relationships in a Photo;Unsupervised Joint Alignment of Complex Images
Understanding Kin Relationships in a Photo;Eigenfaces for Recognition
Understanding Kin Relationships in a Photo;Face recognition by independent component analysis
Understanding Kin Relationships in a Photo;Eigenfaces vs. Fisherfaces: recognition using class specific linear projection
Graph-based Kinship Recognition;Kin recognition and the perceived facial similarity of children
Graph-based Kinship Recognition;Towards computational models of kinship verification
Graph-based Kinship Recognition;Where are kin recognition signals in the human face?
Tri-Subject Kinship Verification: Understanding the Core of A Family;Query-Adaptive Image Search With Hash Codes
Tri-Subject Kinship Verification: Understanding the Core of A Family;Multimedia Information Retrieval Based on Late Semantic Fusion Approaches: Experiments on a Wikipedia Image Collection
Tri-Subject Kinship Verification: Understanding the Core of A Family;A Comprehensive Study Over VLAD and Product Quantization in Large-Scale Image Retrieval
Tri-Subject Kinship Verification: Understanding the Core of A Family;Multimedia Event Detection Using A Classifier-Specific Intermediate Representation
Tri-Subject Kinship Verification: Understanding the Core of A Family;Person Identity Label Propagation in Stereo Videos
Tri-Subject Kinship Verification: Understanding the Core of A Family;Seeing People in Social Context: Recognizing People and Social Relationships
Tri-Subject Kinship Verification: Understanding the Core of A Family;Identity and Kinship Relations in Group Pictures
Tri-Subject Kinship Verification: Understanding the Core of A Family;Gabor-based gradient orientation pyramid for kinship verification under uncontrolled environments
Tri-Subject Kinship Verification: Understanding the Core of A Family;Social Image Analysis From a Non-IID Perspective
Tri-Subject Kinship Verification: Understanding the Core of A Family;Kinship Measurement on Salient Facial Features
Visual Kinship Recognition of Families in the Wild;Towards computational models of kinship verification
Visual Kinship Recognition of Families in the Wild;Kinship verification in multi-linear coherent spaces
Visual Kinship Recognition of Families in the Wild;Sparse coding based kinship recognition
Visual Kinship Recognition of Families in the Wild;Who Do I Look Like? Determining Parent-Offspring Resemblance via Gated Autoencoders
Visual Kinship Recognition of Families in the Wild;A feature subtraction method for image based kinship verification under uncontrolled environments
Visual Kinship Recognition of Families in the Wild;Neighbors Based Discriminative Feature Difference Learning for Kinship Verification
Visual Kinship Recognition of Families in the Wild;Kinship classification by modeling facial feature heredity
Visual Kinship Recognition of Families in the Wild;Graph-Based Kinship Recognition
